filename,name,latitude,longitude,country
wick_wic_gbr_bodc,Wick,58.440972,-3.086389,UK
north_shields_nsh_gbr_bodc,North Shields,55.007444,-1.439778,UK
lowestoft_low_gbr_bodc,Lowestoft,52.473083,1.75025,UK
westkapelle_westkple_nld_rws,Westkapelle,51.521445,3.440031,Netherlands
hoek_van_holland_hoekvhld_nld_rws,Hoek van Holland,51.977572,4.119881,Netherlands
ijmuiden_buitenhaven_ijmdbthvn_nld_rws,Ijmuiden,52.462323,4.554823,Netherlands
den_helder_denhdr_nld_rws,Den Helder,52.964357,4.74499,Netherlands
harlingen_harlgn_nld_rws,Harlingen,53.175632,5.409342,Netherlands
west_terschelling_westtslg_nld_rws,West Terschelling,53.363043,5.220026,Netherlands
cuxhaven_825a_deu_uhslc,Cuxhaven,53.867,8.717,Germany
esbjerg_esb_dnk_dmi,Esbjerg,55.4667,8.4333,Denmark
tregde_trg_nor_nhs,Tregde,58.006377,7.554759,Norway
stavanger_svg_nor_nhs,Stavanger,58.974339,5.730121,Norway
bergen_bgo_nor_nhs,Bergen,60.398046,5.320487,Norway
